train loss,2802.08,2023.08,2145.04,1574.02,1583.93,3102.08,2575.91,1149.29,932.75,1332.15,820.77,2277.10,1990.37,2147.59,2799.26,2116.48,1935.98,1305.60,2420.69,2398.25
valid loss,9482.29,8161.02,9579.30,8033.94,7916.52,8076.15,8097.23,7747.26,7636.40,7925.66,7732.58,8260.43,8613.88,9000.79,8623.77,7910.15,8185.69,7924.80,8182.03,7948.03
train r2,0.77,0.83,0.81,0.86,0.86,0.76,0.78,0.90,0.92,0.88,0.92,0.82,0.83,0.82,0.79,0.80,0.84,0.88,0.82,0.82
valid r2,0.68,0.78,0.67,0.79,0.80,0.79,0.79,0.82,0.82,0.80,0.81,0.78,0.74,0.72,0.75,0.80,0.78,0.80,0.78,0.80
